"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"158","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6118","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"159","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6145","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"160","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6455","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"161","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6505","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"162","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6527","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"163","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6554","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"164","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6868","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"165","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6868","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"166","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6933","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"167","","pfaa/focalboard/server/swagger/docs/html/index.html","3","6960","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"168","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7280","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"169","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7303","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"170","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7353","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"171","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7380","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"172","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7700","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"173","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7723","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"174","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7773","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"175","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7795","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"176","","pfaa/focalboard/server/swagger/docs/html/index.html","3","7822","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"177","","pfaa/focalboard/server/swagger/docs/html/index.html","3","8145","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"178","","pfaa/focalboard/server/swagger/docs/html/index.html","3","8168","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"179","","pfaa/focalboard/server/swagger/docs/html/index.html","3","8218","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"180","","pfaa/focalboard/server/swagger/docs/html/index.html","3","8245","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"181","","pfaa/focalboard/server/swagger/docs/html/index.html","3","8574","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"182","","pfaa/focalboard/server/swagger/docs/html/index.html","3","8597","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"183","","pfaa/focalboard/server/swagger/docs/html/index.html","3","8652","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"184","","pfaa/focalboard/server/swagger/docs/html/index.html","3","8709","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"185","","pfaa/focalboard/server/swagger/docs/html/index.html","3","8736","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"186","","pfaa/focalboard/server/swagger/docs/html/index.html","3","9055","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"187","","pfaa/focalboard/server/swagger/docs/html/index.html","3","9110","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"188","","pfaa/focalboard/server/swagger/docs/html/index.html","3","9168","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"189","","pfaa/focalboard/server/swagger/docs/html/index.html","3","9195","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"190","","pfaa/focalboard/server/swagger/docs/html/index.html","3","9536","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"191","","pfaa/focalboard/server/swagger/docs/html/index.html","3","9570","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"192","","pfaa/focalboard/server/swagger/docs/html/index.html","3","9590","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"193","","pfaa/focalboard/server/swagger/docs/html/index.html","3","9638","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"194","","pfaa/focalboard/server/swagger/docs/html/index.html","3","9695","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"195","","pfaa/focalboard/server/swagger/docs/html/index.html","3","9722","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"196","","pfaa/focalboard/server/swagger/docs/html/index.html","3","10041","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"197","","pfaa/focalboard/server/swagger/docs/html/index.html","3","10096","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"198","","pfaa/focalboard/server/swagger/docs/html/index.html","3","10153","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"199","","pfaa/focalboard/server/swagger/docs/html/index.html","3","10180","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"200","","pfaa/focalboard/server/swagger/docs/html/index.html","3","10499","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"201","","pfaa/focalboard/server/swagger/docs/html/index.html","3","10554","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"202","","pfaa/focalboard/server/swagger/docs/html/index.html","3","10611","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"203","","pfaa/focalboard/server/swagger/docs/html/index.html","3","10633","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"204","","pfaa/focalboard/server/swagger/docs/html/index.html","3","10660","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"205","","pfaa/focalboard/server/swagger/docs/html/index.html","3","10979","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"206","","pfaa/focalboard/server/swagger/docs/html/index.html","3","11034","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"207","","pfaa/focalboard/server/swagger/docs/html/index.html","3","11096","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"208","","pfaa/focalboard/server/swagger/docs/html/index.html","3","11418","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"209","","pfaa/focalboard/server/swagger/docs/html/index.html","3","11473","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"210","","pfaa/focalboard/server/swagger/docs/html/index.html","3","11535","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"211","","pfaa/focalboard/server/swagger/docs/html/index.html","3","11879","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"212","","pfaa/focalboard/server/swagger/docs/html/index.html","3","11913","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"213","","pfaa/focalboard/server/swagger/docs/html/index.html","3","11933","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"214","","pfaa/focalboard/server/swagger/docs/html/index.html","3","11981","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"215","","pfaa/focalboard/server/swagger/docs/html/index.html","3","12043","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"216","","pfaa/focalboard/server/swagger/docs/html/index.html","3","12372","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"217","","pfaa/focalboard/server/swagger/docs/html/index.html","3","12395","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"218","","pfaa/focalboard/server/swagger/docs/html/index.html","3","12450","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"219","","pfaa/focalboard/server/swagger/docs/html/index.html","3","12512","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"220","","pfaa/focalboard/server/swagger/docs/html/index.html","3","12806","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"221","","pfaa/focalboard/server/swagger/docs/html/index.html","3","12868","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"222","","pfaa/focalboard/server/swagger/docs/html/index.html","3","13198","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"223","","pfaa/focalboard/server/swagger/docs/html/index.html","3","13221","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"224","","pfaa/focalboard/server/swagger/docs/html/index.html","3","13244","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"225","","pfaa/focalboard/server/swagger/docs/html/index.html","3","13294","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"226","","pfaa/focalboard/server/swagger/docs/html/index.html","3","13316","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"227","","pfaa/focalboard/server/swagger/docs/html/index.html","3","13343","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"228","","pfaa/focalboard/server/swagger/docs/html/index.html","3","13677","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"229","","pfaa/focalboard/server/swagger/docs/html/index.html","3","13739","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"230","","pfaa/focalboard/server/swagger/docs/html/index.html","3","14058","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"231","","pfaa/focalboard/server/swagger/docs/html/index.html","3","14113","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"232","","pfaa/focalboard/server/swagger/docs/html/index.html","3","14175","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"233","","pfaa/focalboard/server/swagger/docs/html/index.html","3","14509","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"234","","pfaa/focalboard/server/swagger/docs/html/index.html","3","14571","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"235","","pfaa/focalboard/server/swagger/docs/html/index.html","3","14890","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"236","","pfaa/focalboard/server/swagger/docs/html/index.html","3","14945","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"237","","pfaa/focalboard/server/swagger/docs/html/index.html","3","15002","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"238","","pfaa/focalboard/server/swagger/docs/html/index.html","3","15029","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"239","","pfaa/focalboard/server/swagger/docs/html/index.html","3","15351","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"240","","pfaa/focalboard/server/swagger/docs/html/index.html","3","15406","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"241","","pfaa/focalboard/server/swagger/docs/html/index.html","3","15468","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"242","","pfaa/focalboard/server/swagger/docs/html/index.html","3","15787","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"243","","pfaa/focalboard/server/swagger/docs/html/index.html","3","15842","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"244","","pfaa/focalboard/server/swagger/docs/html/index.html","3","15904","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"245","","pfaa/focalboard/server/swagger/docs/html/index.html","3","16245","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"246","","pfaa/focalboard/server/swagger/docs/html/index.html","3","16279","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"247","","pfaa/focalboard/server/swagger/docs/html/index.html","3","16299","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"248","","pfaa/focalboard/server/swagger/docs/html/index.html","3","16347","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"249","","pfaa/focalboard/server/swagger/docs/html/index.html","3","16409","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"250","","pfaa/focalboard/server/swagger/docs/html/index.html","3","16743","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"251","","pfaa/focalboard/server/swagger/docs/html/index.html","3","16805","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"252","","pfaa/focalboard/server/swagger/docs/html/index.html","3","17124","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"253","","pfaa/focalboard/server/swagger/docs/html/index.html","3","17179","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"254","","pfaa/focalboard/server/swagger/docs/html/index.html","3","17241","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"255","","pfaa/focalboard/server/swagger/docs/html/index.html","3","17560","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"256","","pfaa/focalboard/server/swagger/docs/html/index.html","3","17615","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"257","","pfaa/focalboard/server/swagger/docs/html/index.html","3","17677","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"258","","pfaa/focalboard/server/swagger/docs/html/index.html","3","18026","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"259","","pfaa/focalboard/server/swagger/docs/html/index.html","3","18060","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"260","","pfaa/focalboard/server/swagger/docs/html/index.html","3","18083","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"261","","pfaa/focalboard/server/swagger/docs/html/index.html","3","18106","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"262","","pfaa/focalboard/server/swagger/docs/html/index.html","3","18157","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"263","","pfaa/focalboard/server/swagger/docs/html/index.html","3","18219","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"264","","pfaa/focalboard/server/swagger/docs/html/index.html","3","18538","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"265","","pfaa/focalboard/server/swagger/docs/html/index.html","3","18593","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"266","","pfaa/focalboard/server/swagger/docs/html/index.html","3","18655","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"267","","pfaa/focalboard/server/swagger/docs/html/index.html","3","18989","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"268","","pfaa/focalboard/server/swagger/docs/html/index.html","3","19051","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"269","","pfaa/focalboard/server/swagger/docs/html/index.html","3","19370","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"270","","pfaa/focalboard/server/swagger/docs/html/index.html","3","19425","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"271","","pfaa/focalboard/server/swagger/docs/html/index.html","3","19487","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"272","","pfaa/focalboard/server/swagger/docs/html/index.html","3","19800","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"273","","pfaa/focalboard/server/swagger/docs/html/index.html","3","19850","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"274","","pfaa/focalboard/server/swagger/docs/html/index.html","3","19877","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"275","","pfaa/focalboard/server/swagger/docs/html/index.html","3","20214","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"276","","pfaa/focalboard/server/swagger/docs/html/index.html","3","20276","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"277","","pfaa/focalboard/server/swagger/docs/html/index.html","3","20625","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"278","","pfaa/focalboard/server/swagger/docs/html/index.html","3","20659","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"279","","pfaa/focalboard/server/swagger/docs/html/index.html","3","20682","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"280","","pfaa/focalboard/server/swagger/docs/html/index.html","3","20705","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"281","","pfaa/focalboard/server/swagger/docs/html/index.html","3","20756","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"282","","pfaa/focalboard/server/swagger/docs/html/index.html","3","20818","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"283","","pfaa/focalboard/server/swagger/docs/html/index.html","3","21100","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"284","","pfaa/focalboard/server/swagger/docs/html/index.html","3","21388","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"285","","pfaa/focalboard/server/swagger/docs/html/index.html","3","21388","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"286","","pfaa/focalboard/server/swagger/docs/html/index.html","3","21458","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"287","","pfaa/focalboard/server/swagger/docs/html/index.html","3","21521","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"288","","pfaa/focalboard/server/swagger/docs/html/index.html","3","21840","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"289","","pfaa/focalboard/server/swagger/docs/html/index.html","3","21895","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"290","","pfaa/focalboard/server/swagger/docs/html/index.html","3","21952","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"291","","pfaa/focalboard/server/swagger/docs/html/index.html","3","21974","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"292","","pfaa/focalboard/server/swagger/docs/html/index.html","3","22001","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"293","","pfaa/focalboard/server/swagger/docs/html/index.html","3","22311","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"294","","pfaa/focalboard/server/swagger/docs/html/index.html","3","22361","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"295","","pfaa/focalboard/server/swagger/docs/html/index.html","3","22383","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"296","","pfaa/focalboard/server/swagger/docs/html/index.html","3","22405","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"297","","pfaa/focalboard/server/swagger/docs/html/index.html","3","22432","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"298","","pfaa/focalboard/server/swagger/docs/html/index.html","3","22715","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"299","","pfaa/focalboard/server/swagger/docs/html/index.html","3","22715","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"300","","pfaa/focalboard/server/swagger/docs/html/index.html","3","22785","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"301","","pfaa/focalboard/server/swagger/docs/html/index.html","3","22847","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"302","","pfaa/focalboard/server/swagger/docs/html/index.html","3","22909","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"303","","pfaa/focalboard/server/swagger/docs/html/index.html","3","23229","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"304","","pfaa/focalboard/server/swagger/docs/html/index.html","3","23256","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"305","","pfaa/focalboard/server/swagger/docs/html/index.html","3","23578","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"306","","pfaa/focalboard/server/swagger/docs/html/index.html","3","23633","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"307","","pfaa/focalboard/server/swagger/docs/html/index.html","3","23695","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"308","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24039","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"309","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24062","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"310","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24094","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"311","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24094","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"312","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24143","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"313","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24186","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"314","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24208","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"315","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24235","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"316","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24569","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"317","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24601","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"318","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24601","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"319","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24650","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"320","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24693","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"321","","pfaa/focalboard/server/swagger/docs/html/index.html","3","24720","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"322","","pfaa/focalboard/server/swagger/docs/html/index.html","3","25051","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"323","","pfaa/focalboard/server/swagger/docs/html/index.html","3","25083","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"324","","pfaa/focalboard/server/swagger/docs/html/index.html","3","25083","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"325","","pfaa/focalboard/server/swagger/docs/html/index.html","3","25153","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"326","","pfaa/focalboard/server/swagger/docs/html/index.html","3","25210","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"327","","pfaa/focalboard/server/swagger/docs/html/index.html","3","25237","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"328","","pfaa/focalboard/server/swagger/docs/html/index.html","3","25560","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"329","","pfaa/focalboard/server/swagger/docs/html/index.html","3","25560","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"330","","pfaa/focalboard/server/swagger/docs/html/index.html","3","25630","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"331","","pfaa/focalboard/server/swagger/docs/html/index.html","3","25693","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"332","","pfaa/focalboard/server/swagger/docs/html/index.html","3","26039","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"333","","pfaa/focalboard/server/swagger/docs/html/index.html","3","26071","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"334","","pfaa/focalboard/server/swagger/docs/html/index.html","3","26071","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
